0,1,2,3
1,1,76,76
1_numt,1,5,5
1,1,39,39
8_numt,1,5,5
1,1,57,57
9_numt,1,5,5
11,11,32,32
10_numt,11,5,5
12,12,10,10
11_numt,12,5,5
12,12,87,87
12_numt,12,5,5
13,13,15,15
14_numt,13,5,5
13,13,55,55
15_numt,13,5,5
14,14,5,5
16_numt,14,5,5
15,15,48,48
17_numt,15,5,5
15,15,52,52
21_numt,15,5,5
16,16,72,72
22_numt,16,5,5
17,17,17,17
23_numt,17,5,5
17,17,37,37
24_numt,17,5,5
17,17,9,9
25_numt,17,5,5
18,18,18,18
26_numt,18,5,5
18,18,38,38
28_numt,18,5,5
18,18,13,13
29_numt,18,5,5
19,19,3,3
30_numt,19,5,5
2,2,38,38
31_numt,2,5,5
2,2,116,116
32_numt,2,5,5
20,20,8,8
33_numt,20,5,5
21,21,11,11
35_numt,21,5,5
3,3,23,23
36_numt,3,5,5
4,4,13,13
37_numt,4,5,5
4,4,5,5
43_numt,4,5,5
4,4,17,17
44_numt,4,5,5
7,7,50,50
45_numt,7,5,5
7,7,54,54
46_numt,7,5,5
7,7,23,23
47_numt,7,5,5
9,9,43,43
48_numt,9,5,5
9,9,20,20
49_numt,9,5,5
9,9,15,15
50_numt,9,5,5
