0,1,2,3
1,1,75,75
1_numt,1,7,1
1,1,3,3
2_numt,1,10,1
1,1,3,3
3_numt,1,3,1
1,1,3,3
4_numt,1,4,1
1,1,3,3
5_numt,1,4,1
1,1,3,3
6_numt,1,8,1
1,1,3,3
7_numt,1,6,1
1,1,38,38
8_numt,1,49,1
1,1,57,57
9_numt,1,3,1
11,11,32,32
10_numt,11,100,1
12,12,9,9
11_numt,12,36,1
12,12,87,87
12_numt,12,41,1
12,12,3,3
13_numt,12,21,1
13,13,15,15
14_numt,13,26,1
13,13,55,55
15_numt,13,73,1
14,14,5,5
16_numt,14,100,1
15,15,48,48
17_numt,15,14,1
15,15,3,3
18_numt,15,22,1
15,15,3,3
19_numt,15,29,1
15,15,3,3
20_numt,15,16,1
15,15,51,51
21_numt,15,16,1
16,16,72,72
22_numt,16,100,1
17,17,17,17
23_numt,17,30,1
17,17,36,36
24_numt,17,43,1
17,17,8,8
25_numt,17,25,1
18,18,17,17
26_numt,18,11,1
18,18,3,3
27_numt,18,54,1
18,18,38,38
28_numt,18,18,1
18,18,13,13
29_numt,18,15,1
19,19,3,3
30_numt,19,100,1
2,2,38,38
31_numt,2,45,1
2,2,116,116
32_numt,2,54,1
20,20,7,7
33_numt,20,43,1
20,20,3,3
34_numt,20,56,1
21,21,11,11
35_numt,21,100,1
3,3,22,22
36_numt,3,100,1
4,4,13,13
37_numt,4,16,1
4,4,3,3
38_numt,4,18,1
4,4,3,3
39_numt,4,21,1
4,4,3,3
40_numt,4,7,1
4,4,3,3
41_numt,4,11,1
4,4,3,3
42_numt,4,9,1
4,4,4,4
43_numt,4,2,1
4,4,17,17
44_numt,4,12,1
7,7,49,49
45_numt,7,44,1
7,7,54,54
46_numt,7,31,1
7,7,22,22
47_numt,7,24,1
9,9,42,42
48_numt,9,37,1
9,9,20,20
49_numt,9,17,1
9,9,14,14
50_numt,9,32,1
9,9,3,3
51_numt,9,12,1
