Species_1,Start_1,End_1,Species_2,Start_2,End_2,fill
12,96965610,96965679,1,0,68,FF0000
12,96965610,96965759,2,0,148,FF0000
20,7602835,7602857,3,44,65,FFA500
20,7602835,7603293,4,0,457,FFA500
20,7603425,7604041,4,958,957,DAA520
4,17873977,17874001,6,927,950,EEE8AA
4,17873977,17874047,7,0,69,EEE8AA
4,17873977,17874049,8,0,71,EEE8AA
4,17873977,17874009,9,0,31,EEE8AA
1,114731432,114731494,18,7,68,BDB76B
1,114731432,114732113,19,0,680,BDB76B
1,114731432,114731501,20,0,68,BDB76B
1,114731432,114731627,21,0,194,BDB76B
1,114731432,114732107,22,0,674,BDB76B
1,114731432,114732215,23,0,782,BDB76B
1,114731432,114731502,24,0,69,BDB76B
1,114731432,114731777,25,0,344,BDB76B
1,114731432,114731499,26,0,66,BDB76B
1,114731432,114731726,27,0,293,BDB76B
1,114731432,114732800,28,0,1367,BDB76B
1,114731432,114731501,29,0,68,BDB76B
1,114731432,114731447,30,0,58,BDB76B
18,69222268,69222503,25,238,237,6B8E23
18,69222268,69222335,26,0,66,6B8E23
18,69222268,69222379,27,0,110,6B8E23
2,154330735,154331061,28,748,1073,228B22
7,103882371,103882734,32,702,1064,8FBC8F
9,78086277,78086523,32,1557,1802,00FFFF
9,78086277,78086753,33,0,475,00FFFF
9,63094829,63095026,32,1606,1802,AFEEEE
9,63094829,63095022,33,0,192,AFEEEE
17,17000447,17000679,33,287,518,7FFFD4
17,17000447,17000515,34,0,67,7FFFD4
17,17000447,17000552,35,972,1076,7FFFD4
9,78087323,78087360,33,496,495,B0E0E6
9,78087323,78087391,34,0,67,B0E0E6
9,78087323,78087487,35,0,1133,B0E0E6
