Species_1,Start_1,End_1,Species_2,Start_2,End_2,fill
12,96965610,96965679,1,0,68,CF6F91
12,96965610,96965759,2,0,148,CF6F91
1,75616882,75617251,2,359,727,9A2023
1,69877813,69877980,2,443,442,5F41C9
9,8372316,8372372,2,505,560,345F44
3,122169358,122169364,2,955,954,23FCF2
3,122169358,122169408,3,0,49,23FCF2
20,7602835,7602857,3,44,65,8E8B84
20,7602835,7603293,4,0,457,8E8B84
9,41102080,41102181,4,77,177,42A7C2
4,35270393,35270471,4,79,156,458A62
18,59502156,59502308,4,107,258,12C019
1,75617250,75617736,4,209,694,938EF8
20,7603425,7604041,4,958,957,4E6CE9
13,70577052,70577228,4,781,956,4F1FC5
1,75618494,75618601,4,789,895,E0B405
14,82493273,82493335,4,958,957,5ED427
17,58041558,58041817,4,958,957,2A3531
13,70577587,70577941,4,1141,1494,417FAE
20,5386116,5386167,4,1234,1284,4B93B7
15,48146921,48147220,4,1470,1469,18680B
15,48146921,48146996,5,0,74,18680B
15,48146921,48146976,6,0,54,18680B
1,75753972,75754225,4,1470,1469,2BD4B9
1,75753972,75754047,5,0,74,2BD4B9
1,75753972,75754449,6,0,476,2BD4B9
1,75619486,75619698,4,1470,1469,680C72
1,75619486,75619561,5,0,74,680C72
1,75619486,75619599,6,0,112,680C72
15,94510628,94510730,4,1470,1469,2E4334
14,153855836,153855848,4,1569,1580,9AB966
14,153855836,153855911,5,0,74,9AB966
17,62000781,62000790,5,49,57,29117C
17,62000781,62000834,6,0,52,29117C
13,101473384,101473590,6,325,530,FBD3FB
10,40994538,40994684,6,836,835,7B12AA
10,40994538,40994608,7,0,69,7B12AA
10,40994538,40994607,8,2,70,7B12AA
4,17873977,17874001,6,927,950,0583D9
4,17873977,17874047,7,0,69,0583D9
4,17873977,17874049,8,0,71,0583D9
4,17873977,17874009,9,0,31,0583D9
4,35271214,35271246,8,0,71,F40007
4,35271214,35271283,9,0,68,F40007
4,35271214,35272252,10,0,1037,F40007
4,35271214,35271268,11,0,66,F40007
16,64242744,64242813,10,910,909,6235FD
18,55873968,55874331,10,498,860,F9A0E8
18,55873968,55874035,11,0,66,F9A0E8
18,55873968,55874032,12,0,63,F9A0E8
4,13253305,13253668,10,498,860,9AABDB
4,13253305,13253372,11,0,66,9AABDB
4,13253305,13253372,12,0,66,9AABDB
4,13253305,13253378,13,0,72,9AABDB
4,13253305,13253374,14,0,68,9AABDB
4,13253305,13253371,15,0,65,9AABDB
4,13253305,13254069,16,0,763,9AABDB
11,32101959,32102080,16,80,200,4F33E3
15,48154195,48154884,16,791,790,8A56BE
11,32102419,32103284,16,791,790,8A5DD2
13,15107645,15107771,16,576,701,B658B3
1,75610052,75610768,16,791,790,75482E
9,114396677,114397018,16,791,790,44C7EC
15,48154951,48155579,16,908,1535,3D97A2
15,48154951,48155020,17,0,68,3D97A2
15,48154951,48155020,18,0,68,3D97A2
15,48154951,48155106,19,130,129,3D97A2
7,49551495,49551564,18,0,68,DFA9B8
7,49551495,49551945,19,0,449,DFA9B8
1,114731432,114731494,18,7,68,4F8A45
1,114731432,114732113,19,0,680,4F8A45
1,114731432,114731501,20,0,68,4F8A45
1,114731432,114731627,21,0,194,4F8A45
1,114731432,114732107,22,0,674,4F8A45
1,114731432,114732215,23,0,782,4F8A45
1,114731432,114731502,24,0,69,4F8A45
1,114731432,114731777,25,0,344,4F8A45
1,114731432,114731499,26,0,66,4F8A45
1,114731432,114731726,27,0,293,4F8A45
1,114731432,114732800,28,0,1367,4F8A45
1,114731432,114731501,29,0,68,4F8A45
1,114731432,114731447,30,0,58,4F8A45
4,13254816,13254842,18,43,68,6668DE
4,13254816,13255497,19,0,680,6668DE
4,13254816,13254885,20,0,68,6668DE
4,13254816,13255011,21,0,194,6668DE
4,13254816,13255491,22,0,674,6668DE
4,13254816,13254898,23,68,67,6668DE
1,172061182,172061194,18,57,68,7DC8F6
1,172061182,172061379,19,130,129,7DC8F6
1,172061750,172062138,19,241,628,F2D9C4
9,14952152,14952225,19,273,345,AD3F3E
6,14703988,14704054,19,288,353,4C97CF
17,62655313,62655648,19,346,680,05F388
17,62655313,62655327,20,0,13,05F388
15,48156099,48156218,19,358,476,449024
7,89561121,89561175,19,445,498,532DD9
21,5913014,5913046,21,163,194,A8B1AB
21,5913014,5913377,22,0,674,A8B1AB
16,72417467,72417630,23,225,387,C046E4
2,120915680,120915792,23,292,403,65085A
4,13256500,13256863,23,420,782,BF5722
4,13256500,13256570,24,0,69,BF5722
4,13256500,13256845,25,0,344,BF5722
4,13256500,13256567,26,0,66,BF5722
4,13256500,13256794,27,0,293,BF5722
4,13256500,13257328,28,45,44,BF5722
3,55352252,55352456,23,580,579,ADE97C
3,55352252,55352276,24,18,41,ADE97C
12,9554534,9554541,24,11,17,BE3275
12,9554534,9554879,25,0,344,BE3275
12,9554534,9554565,26,0,66,BE3275
18,17579018,17579024,24,12,17,22F355
