Chr,Start,End,fill,species,size,color
,1,69,969696,mtDNA,12,252525
,1,957,969696,mtDNA,12,252525
,1,66,969696,mtDNA,12,252525
,1,1581,969696,mtDNA,12,252525
,1,75,969696,mtDNA,12,252525
,1,951,969696,mtDNA,12,252525
,1,70,969696,mtDNA,12,252525
,1,72,969696,mtDNA,12,252525
,1,69,969696,mtDNA,12,252525
,1,1038,969696,mtDNA,12,252525
,1,67,969696,mtDNA,12,252525
,1,67,969696,mtDNA,12,252525
,1,73,969696,mtDNA,12,252525
,1,69,969696,mtDNA,12,252525
,1,66,969696,mtDNA,12,252525
,1,1536,969696,mtDNA,12,252525
,1,69,969696,mtDNA,12,252525
,1,69,969696,mtDNA,12,252525
,1,681,969696,mtDNA,12,252525
,1,69,969696,mtDNA,12,252525
,1,195,969696,mtDNA,12,252525
,1,675,969696,mtDNA,12,252525
,1,783,969696,mtDNA,12,252525
,1,70,969696,mtDNA,12,252525
,1,345,969696,mtDNA,12,252525
,1,67,969696,mtDNA,12,252525
,1,294,969696,mtDNA,12,252525
,1,1368,969696,mtDNA,12,252525
,1,69,969696,mtDNA,12,252525
,1,59,969696,mtDNA,12,252525
,1,70,969696,mtDNA,12,252525
,1,1803,969696,mtDNA,12,252525
,1,519,969696,mtDNA,12,252525
,1,68,969696,mtDNA,12,252525
,1,1134,969696,mtDNA,12,252525
,1,66,969696,mtDNA,12,252525
,1,66,969696,mtDNA,12,252525
,1,1880,969696,mtDNA,12,252525
,1,27691,969696,Scaffolds,12,252525
,1,81722,969696,Scaffolds,12,252525
,1,88228,969696,Scaffolds,12,252525
,1,5787221,969696,Scaffolds,12,252525
,1,291127,969696,Scaffolds,12,252525
,1,74942,969696,Scaffolds,12,252525
,1,288293,969696,Scaffolds,12,252525
,1,5785,969696,Scaffolds,12,252525
,1,2148096,969696,Scaffolds,12,252525
,1,922215,969696,Scaffolds,12,252525
,1,104580,969696,Scaffolds,12,252525
,1,247428,969696,Scaffolds,12,252525
,1,2220855,969696,Scaffolds,12,252525
,1,80506,969696,Scaffolds,12,252525
,1,279267,969696,Scaffolds,12,252525
,1,51331,969696,Scaffolds,12,252525
,1,947161,969696,Scaffolds,12,252525
,1,24576,969696,Scaffolds,12,252525
,1,13461802,969696,Scaffolds,12,252525
,1,660382,969696,Scaffolds,12,252525
,1,89743,969696,Scaffolds,12,252525
,1,6124611,969696,Scaffolds,12,252525
,1,204766,969696,Scaffolds,12,252525
,1,64055,969696,Scaffolds,12,252525
,1,2352391,969696,Scaffolds,12,252525
,1,45853,969696,Scaffolds,12,252525
,1,139324,969696,Scaffolds,12,252525
,1,588789,969696,Scaffolds,12,252525
,1,1165285,969696,Scaffolds,12,252525
