Species_1,Start_1,End_1,Species_2,Start_2,End_2,fill
1,0,68,1,16756,16825,7C9F01
2,0,566,1,16756,17323,7C9F01
1,0,68,2,62558,62627,4DF425
2,0,956,2,62558,63515,4DF425
3,0,65,2,62558,62624,4DF425
4,0,244,2,62558,62803,4DF425
1,0,68,3,66343,66412,B2EE7D
2,0,770,3,66343,67114,B2EE7D
1,22,68,1,5,52,19D5EA
2,0,107,1,5,113,19D5EA
1,22,68,1,16930,16977,273AEF
2,0,566,1,16930,17497,273AEF
1,22,68,1,17236,17283,A77AA3
2,0,413,1,17236,17650,A77AA3
1,22,68,1,17389,17436,0633A8
2,0,260,1,17389,17650,0633A8
1,22,68,1,17542,17589,08F531
2,0,107,1,17542,17650,08F531
1,22,68,1,17083,17130,C58DA9
2,0,956,1,17083,18040,C58DA9
3,0,65,1,17083,17149,C58DA9
4,0,1580,1,17083,18664,C58DA9
5,0,74,1,17083,17158,C58DA9
6,0,950,1,17083,18034,C58DA9
7,0,69,1,17083,17153,C58DA9
8,0,71,1,17083,17155,C58DA9
9,0,68,1,17083,17152,C58DA9
10,0,1037,1,17083,18121,C58DA9
11,0,66,1,17083,17150,C58DA9
12,0,66,1,17083,17150,C58DA9
13,0,72,1,17083,17156,C58DA9
14,0,68,1,17083,17152,C58DA9
15,0,65,1,17083,17149,C58DA9
16,0,1535,1,17083,18619,C58DA9
17,0,68,1,17083,17152,C58DA9
18,0,68,1,17083,17152,C58DA9
19,0,680,1,17083,17764,C58DA9
20,0,68,1,17083,17152,C58DA9
21,0,194,1,17083,17278,C58DA9
22,0,674,1,17083,17758,C58DA9
23,0,782,1,17083,17866,C58DA9
24,0,69,1,17083,17153,C58DA9
25,0,344,1,17083,17428,C58DA9
26,0,66,1,17083,17150,C58DA9
27,0,293,1,17083,17377,C58DA9
2,101,260,1,0,160,41BD01
2,106,566,1,16778,17239,BD18DF
2,259,566,1,16778,17086,A97CB4
2,407,956,1,0,550,58DC58
3,0,65,1,0,66,58DC58
4,0,1580,1,0,1581,58DC58
5,0,74,1,0,75,58DC58
6,0,950,1,0,951,58DC58
7,0,69,1,0,70,58DC58
8,0,71,1,0,72,58DC58
9,0,68,1,0,69,58DC58
10,0,1037,1,0,1038,58DC58
11,0,66,1,0,67,58DC58
12,0,66,1,0,67,58DC58
13,0,72,1,0,73,58DC58
