#bin	swScore	milliDiv	milliDel	milliIns	genoName	genoStart	genoEnd	genoLeft	strand	repName	repClass	repFamily	repStart	repEnd	repLeft	id
1460	416	122	0	12	chr1	114736112	114736195	-80114562	+	(TA)n	Simple_repeat	Simple_repeat	1	82	0	1
1460	1560	213	42	0	chr1	114736195	114736552	-80114205	+	L1M2	LINE	L1	4808	5179	-964	1
1460	283	283	35	17	chr1	114736561	114736676	-80114081	+	L1M5	LINE	L1	5526	5642	-600	1
1460	515	280	5	107	chr1	114736709	114736801	-80113956	+	CSINE2	SINE	SINE	5	80	-264	1
1460	1698	114	99	19	chr1	114736801	114737115	-80113642	-	CSINE3A	SINE	SINE	-11	339	1	1
1460	515	280	5	107	chr1	114737115	114737238	-80113519	+	CSINE2	SINE	SINE	81	198	-146	1
1460	297	53	150	50	chr1	114737239	114737299	-80113458	+	CSINE3A	SINE	SINE	279	344	-6	1
1460	207	0	0	0	chr1	114737309	114737332	-80113425	+	(TAAA)n	Simple_repeat	Simple_repeat	2	24	0	1
1460	251	277	57	62	chr1	114737709	114737886	-80112871	-	L2	LINE	L2	-550	2869	2694	1
1460	207	350	67	0	chr1	114738037	114738097	-80112660	-	L2b	LINE	L2	-67	3308	3245	1
1460	633	263	88	54	chr1	114738171	114738465	-80112292	+	CSINE2	SINE	SINE	38	341	-3	1
1460	25	0	0	0	chr1	114738487	114738512	-80112245	+	AT_rich	Low_complexity	Low_complexity	1	25	0	1
1460	252	62	0	0	chr1	114738794	114738826	-80111931	-	MER63B	DNA	hAT-Blackjack	-50	386	355	1
1460	239	215	129	0	chr1	114738880	114738973	-80111784	+	Kanga2_a	DNA	TcMar-Tc2	217	321	-567	1
1460	344	239	104	0	chr1	114739188	114739322	-80111435	+	Kanga2_a	DNA	TcMar-Tc2	528	675	-213	1
1460	1202	228	91	19	chr1	114739336	114739654	-80111103	+	CSINE2	SINE	SINE	2	342	-2	1
1460	239	229	115	0	chr1	114739760	114739821	-80110936	+	MLT1J	LTR	ERVL-MaLR	101	168	-344	1
1460	268	301	121	35	chr1	114739922	114740063	-80110694	+	L2c	LINE	L2	2325	2477	-942	1
1460	814	236	93	30	chr1	114740079	114740315	-80110442	-	CSINE2	SINE	SINE	-24	316	66	1
