#bin	swScore	milliDiv	milliDel	milliIns	genoName	genoStart	genoEnd	genoLeft	strand	repName	repClass	repFamily	repStart	repEnd	repLeft	id
1170	1094	181	8	96	chr1	76710292	76710543	-118140214	+	CSINE2	SINE	SINE	116	344	0	1
1170	666	297	105	47	chr1	76710539	76711053	-118139704	+	MLT1E2	LTR	ERVL-MaLR	73	627	0	1
1170	6358	220	58	24	chr1	76712233	76712345	-118138412	+	L1M2	LINE	L1	2379	2489	-3654	1
1170	2513	57	48	6	chr1	76712345	76712679	-118138078	+	CSINE3A	SINE	SINE	1	348	-2	1
1170	6358	220	58	24	chr1	76712679	76713312	-118137445	+	L1M2	LINE	L1	2490	3147	-2996	1
1170	1031	217	238	14	chr1	76713312	76713501	-118137256	+	CSINE2	SINE	SINE	1	208	-136	1
1170	195	42	0	0	chr1	76713501	76713525	-118137232	+	(CCCCAG)n	Simple_repeat	Simple_repeat	2	25	0	1
1170	1031	217	238	14	chr1	76713525	76713573	-118137184	+	CSINE2	SINE	SINE	209	295	-49	1
1170	216	0	0	0	chr1	76713573	76713597	-118137160	+	(TC)n	Simple_repeat	Simple_repeat	2	25	0	1
1170	1031	217	238	14	chr1	76713597	76713639	-118137118	+	CSINE2	SINE	SINE	296	343	-1	1
1170	6358	220	58	24	chr1	76713639	76714724	-118136033	+	L1M2	LINE	L1	3148	4272	-1871	1
1037	306	346	133	28	chr1	59306840	59307051	-135543706	+	MIR	SINE	MIR	30	262	0	9
1037	438	241	86	4	chr1	59307219	59307452	-135543305	-	MER33	DNA	hAT-Charlie	-51	273	1	9
1037	216	337	36	12	chr1	59307931	59308015	-135542742	+	MIRc	SINE	MIR	120	205	-63	9
1037	397	239	21	0	chr1	59308158	59308300	-135542457	+	C-rich	Low_complexity	Low_complexity	2	146	0	9
1037	23	0	0	0	chr1	59308925	59308948	-135541809	+	AT_rich	Low_complexity	Low_complexity	1	23	0	9
1037	26	23	0	23	chr1	59308991	59309021	-135541736	+	AT_rich	Low_complexity	Low_complexity	1	30	0	9
1037	1957	112	61	15	chr1	59309021	59309348	-135541409	-	CSINE3A	SINE	SINE	-8	342	1	9
1037	26	23	0	23	chr1	59309348	59309361	-135541396	+	AT_rich	Low_complexity	Low_complexity	1	13	0	9
1037	266	380	18	9	chr1	59309560	59309669	-135541088	-	MIR3	SINE	MIR	-63	145	36	9
1037	2586	39	35	26	chr1	59309929	59310275	-135540482	-	CSINE3A	SINE	SINE	0	350	2	9
1037	231	290	46	171	chr1	59311101	59311182	-135539575	-	L2a	LINE	L2	-1	3425	3371	9
949	3799	52	4	18	chr1	47736016	47736505	-147114252	+	ERVNOC_LTR	LTR	ERVK	1	482	0	7
949	311	66	0	56	chr1	47736505	47736571	-147114186	+	ERVNOC_I-int	LTR	ERVK	1	57	-5515	7
949	7321	76	216	34	chr1	47736591	47737872	-147112885	+	ERVNOC_I-int	LTR	ERVK	17	1529	0	7
949	3790	54	4	18	chr1	47737872	47738361	-147112396	+	ERVNOC_LTR	LTR	ERVK	1	482	0	7
949	1756	145	107	28	chr1	47738375	47738694	-147112063	+	CSINE2	SINE	SINE	1	344	0	7
949	1101	221	71	77	chr1	47738877	47739215	-147111542	-	CSINE1	SINE	SINE	-3	337	2	7
949	210	327	85	33	chr1	47739303	47739515	-147111242	+	MIR	SINE	MIR	40	262	0	7
949	896	268	151	20	chr1	47740697	47741100	-147109657	+	L1MC4a	LINE	L1	5467	5922	-1960	7
949	189	0	0	0	chr1	47741104	47741125	-147109632	+	(TATG)n	Simple_repeat	Simple_repeat	2	22	0	7
924	968	264	169	7	chr1	44556662	44556941	-150293816	+	CSINE2	SINE	SINE	1	324	-20	7
924	249	262	30	96	chr1	44557067	44557202	-150293555	-	L1MCc	LINE	L1	-6271	152	27	7
924	252	0	0	0	chr1	44557940	44557968	-150292789	+	(TTTTA)n	Simple_repeat	Simple_repeat	2	29	0	7
924	2452	46	21	21	chr1	44557968	44558302	-150292455	-	CSINE3A	SINE	SINE	-16	334	1	7
924	2569	68	18	0	chr1	44559657	44559994	-150290763	+	CSINE3A	SINE	SINE	1	343	-7	7
924	184	306	121	43	chr1	44560542	44560658	-150290099	+	MIR	SINE	MIR	29	153	-109	7
924	209	250	0	0	chr1	44560828	44560878	-150289879	+	L2a	LINE	L2	3323	3411	-15	7
1283	3455	166	16	0	chr1	91571198	91571769	-103278988	+	LTR20C_OC	LTR	ERV1	1	580	0	1
1283	1069	188	133	8	chr1	91571849	91572090	-103278667	-	CSINE2	SINE	SINE	-2	342	72	1
