Species_1,Start_1,End_1,Species_2,Start_2,End_2,fill
12,96965610,96965679,1,0,68,F70017
12,96965610,96965759,2,0,148,F70017
9,8372316,8372372,2,505,560,887DC7
20,7602835,7602857,3,44,65,255940
20,7602835,7603293,4,0,457,255940
9,41102080,41102181,4,77,177,AB6613
20,7603425,7604041,4,958,957,F0336D
14,82493273,82493335,4,958,957,3F8578
20,5386116,5386167,4,1234,1284,6544EC
10,40994538,40994684,6,836,835,E17DFC
10,40994538,40994608,7,0,69,E17DFC
10,40994538,40994607,8,2,70,E17DFC
4,17873977,17874001,6,927,950,0C4712
4,17873977,17874047,7,0,69,0C4712
4,17873977,17874049,8,0,71,0C4712
4,17873977,17874009,9,0,31,0C4712
1,114731432,114731494,18,7,68,ED3BE6
1,114731432,114732113,19,0,680,ED3BE6
1,114731432,114731501,20,0,68,ED3BE6
1,114731432,114731627,21,0,194,ED3BE6
1,114731432,114732107,22,0,674,ED3BE6
1,114731432,114732215,23,0,782,ED3BE6
1,114731432,114731502,24,0,69,ED3BE6
1,114731432,114731777,25,0,344,ED3BE6
1,114731432,114731499,26,0,66,ED3BE6
1,114731432,114731726,27,0,293,ED3BE6
1,114731432,114732800,28,0,1367,ED3BE6
1,114731432,114731501,29,0,68,ED3BE6
1,114731432,114731447,30,0,58,ED3BE6
9,14952152,14952225,19,273,345,06DE76
6,14703988,14704054,19,288,353,4EE0E6
2,120915680,120915792,23,292,403,17D182
18,69222268,69222503,25,238,237,C06ACE
18,69222268,69222335,26,0,66,C06ACE
18,69222268,69222379,27,0,110,C06ACE
2,154330612,154330721,28,583,691,B5B388
2,154330735,154331061,28,748,1073,4350F4
2,154331756,154331768,30,41,52,6B9BCF
2,154331756,154331826,31,0,69,6B9BCF
2,154331756,154331757,32,0,0,6B9BCF
7,103882371,103882734,32,702,1064,A391A2
9,78086277,78086523,32,1557,1802,1CB2D0
9,78086277,78086753,33,0,475,1CB2D0
9,63094829,63095026,32,1606,1802,8E9B5C
9,63094829,63095022,33,0,192,8E9B5C
14,70321076,70321191,33,269,383,5E0480
17,17000447,17000679,33,287,518,CDC815
17,17000447,17000515,34,0,67,CDC815
17,17000447,17000552,35,972,1076,CDC815
9,78087323,78087360,33,496,495,545F48
9,78087323,78087391,34,0,67,545F48
9,78087323,78087487,35,0,1133,545F48
