Species_1,Start_1,End_1,Species_2,Start_2,End_2,fill
1,0,68,1,16756,16825,A5F6B8
2,0,566,1,16756,17323,A5F6B8
1,0,68,2,62558,62627,2B9115
2,0,956,2,62558,63515,2B9115
3,0,65,2,62558,62624,2B9115
4,0,244,2,62558,62803,2B9115
1,0,68,3,66343,66412,CAAE7A
2,0,770,3,66343,67114,CAAE7A
1,22,68,1,5,52,A65249
2,0,107,1,5,113,A65249
1,22,68,1,16930,16977,38FDF7
2,0,566,1,16930,17497,38FDF7
1,22,68,1,17236,17283,D8D64D
2,0,413,1,17236,17650,D8D64D
1,22,68,1,17389,17436,73FEAE
2,0,260,1,17389,17650,73FEAE
1,22,68,1,17542,17589,96B10C
2,0,107,1,17542,17650,96B10C
1,22,68,1,17083,17130,2A04ED
2,0,956,1,17083,18040,2A04ED
3,0,65,1,17083,17149,2A04ED
4,0,1580,1,17083,18664,2A04ED
5,0,74,1,17083,17158,2A04ED
6,0,950,1,17083,18034,2A04ED
7,0,69,1,17083,17153,2A04ED
8,0,71,1,17083,17155,2A04ED
9,0,68,1,17083,17152,2A04ED
10,0,1037,1,17083,18121,2A04ED
11,0,66,1,17083,17150,2A04ED
12,0,66,1,17083,17150,2A04ED
13,0,72,1,17083,17156,2A04ED
14,0,68,1,17083,17152,2A04ED
15,0,65,1,17083,17149,2A04ED
16,0,1535,1,17083,18619,2A04ED
17,0,68,1,17083,17152,2A04ED
18,0,68,1,17083,17152,2A04ED
19,0,680,1,17083,17764,2A04ED
20,0,68,1,17083,17152,2A04ED
21,0,194,1,17083,17278,2A04ED
22,0,674,1,17083,17758,2A04ED
23,0,782,1,17083,17866,2A04ED
24,0,69,1,17083,17153,2A04ED
25,0,344,1,17083,17428,2A04ED
26,0,66,1,17083,17150,2A04ED
27,0,293,1,17083,17377,2A04ED
2,101,260,1,0,160,23CCE0
2,106,566,1,16778,17239,60C19B
2,259,566,1,16778,17086,C29ED2
2,407,956,1,0,550,636230
3,0,65,1,0,66,636230
4,0,1580,1,0,1581,636230
5,0,74,1,0,75,636230
6,0,950,1,0,951,636230
7,0,69,1,0,70,636230
8,0,71,1,0,72,636230
9,0,68,1,0,69,636230
10,0,1037,1,0,1038,636230
11,0,66,1,0,67,636230
12,0,66,1,0,67,636230
13,0,72,1,0,73,636230
14,0,68,1,0,69,636230
15,0,65,1,0,66,636230
16,0,1535,1,0,1536,636230
17,0,68,1,0,69,636230
18,0,68,1,0,69,636230
19,0,680,1,0,681,636230
20,0,68,1,0,69,636230
21,0,194,1,0,195,636230
22,0,674,1,0,675,636230
23,0,782,1,0,783,636230
24,0,69,1,0,70,636230
25,0,344,1,0,345,636230
26,0,66,1,0,67,636230
27,0,293,1,0,294,636230
28,0,1367,1,0,1368,636230
29,0,68,1,0,69,636230
30,0,58,1,0,59,636230
31,0,69,1,0,70,636230
32,0,1802,1,0,1803,636230
33,0,518,1,0,519,636230
34,0,67,1,0,68,636230
35,0,1133,1,0,1134,636230
36,0,65,1,0,66,636230
37,0,65,1,0,66,636230
2,727,932,1,17928,18134,6D0FAB
2,727,912,1,17948,18134,8FA8E7
2,727,872,1,17984,18130,95CB68
2,729,852,1,18010,18134,4DED40
2,729,872,1,422,566,F47117
2,729,912,1,374,558,D92197
2,729,832,1,466,570,EE0583
2,729,852,1,442,566,B0A815
2,729,892,1,17970,18134,18D0B6
2,729,892,1,394,558,E98B81
2,773,952,1,17858,18038,C5F60A
2,777,952,1,322,498,0EAF30
2,793,950,1,17858,18016,3EB0E1
2,797,949,1,322,475,CC8064
2,813,952,1,17858,17998,D66AC9
3,0,65,3,67160,67226,295AEA
4,0,1580,3,67160,68741,295AEA
5,0,74,3,67160,67235,295AEA
6,0,950,3,67160,68111,295AEA
7,0,69,3,67160,67230,295AEA
8,0,71,3,67160,67232,295AEA
9,0,68,3,67160,67229,295AEA
10,0,1037,3,67160,68198,295AEA
11,0,66,3,67160,67227,295AEA
12,0,66,3,67160,67227,295AEA
13,0,72,3,67160,67233,295AEA
14,0,68,3,67160,67229,295AEA
15,0,65,3,67160,67226,295AEA
16,0,474,3,67160,67635,295AEA
2,817,952,1,322,458,70E5ED
2,837,952,1,322,438,7B64F7
2,857,952,1,322,418,5EC969
4,72,273,4,10504,10706,3CA72C
4,94,314,5,1144599,1144820,BC69B6
4,123,307,6,3711859,3712044,A1C019
4,760,883,7,3438128,3438252,B688DB
4,962,1580,8,68065,68684,D9D1CB
5,0,74,8,68065,68088,D9D1CB
4,962,1580,9,1143,1762,ED9FC0
5,0,74,9,1143,1166,ED9FC0
4,962,1580,10,236907,237526,6C28F3
5,0,74,10,236907,236930,6C28F3
4,962,1580,11,279546,280165,7DECF2
5,0,74,11,279546,279569,7DECF2
4,1118,1580,5,1146326,1146789,8A6B0E
5,0,74,5,1146326,1146401,8A6B0E
6,0,268,5,1146326,1146595,8A6B0E
10,0,1037,2,66435,67436,2333C6
11,0,66,2,66435,66502,2333C6
12,0,66,2,66435,66502,2333C6
13,0,72,2,66435,66508,2333C6
14,0,68,2,66435,66504,2333C6
15,0,65,2,66435,66501,2333C6
16,0,474,2,66435,66910,2333C6
10,0,1037,12,204027,204401,876134
10,0,1037,13,31650,32030,604FB6
10,0,1037,14,138018,138398,F4BF2C
10,0,1037,14,409745,410050,027058
10,382,711,15,673556,673886,B3FB54
16,80,200,16,49919,50040,077C7E
16,217,549,16,50380,50713,680E5C
16,352,533,19,628385,628567,EB87EB
16,352,510,20,9902,10061,1E8F13
17,0,68,21,14016,14085,4CC94E
18,0,68,21,14016,14085,4CC94E
19,0,680,21,14016,14697,4CC94E
20,0,68,21,14016,14085,4CC94E
21,0,194,21,14016,14211,4CC94E
22,0,674,21,14016,14691,4CC94E
23,0,497,21,14016,14514,4CC94E
17,0,68,22,6981609,6981678,A53673
18,0,68,22,6981609,6981678,A53673
19,0,461,22,6981609,6982071,A53673
17,41,53,18,167944,167957,73ECDB
18,0,68,18,167944,168013,73ECDB
19,0,680,18,167944,168625,73ECDB
20,0,68,18,167944,168013,73ECDB
21,0,194,18,167944,168139,73ECDB
22,439,561,18,167944,168067,73ECDB
18,0,68,19,630589,630658,C7D176
19,0,95,19,630589,630685,C7D176
18,3,68,8,17624,17690,C97CE7
19,0,680,8,17624,18305,C97CE7
20,0,68,8,17624,17693,C97CE7
21,0,194,8,17624,17819,C97CE7
22,439,551,8,17624,17737,C97CE7
19,9,680,14,330095,330767,595ABA
20,0,68,14,330095,330164,595ABA
21,0,194,14,330095,330290,595ABA
22,0,674,14,330095,330460,595ABA
19,210,680,19,631156,631627,AE820C
20,0,68,19,631156,631225,AE820C
21,0,194,19,631156,631351,AE820C
22,0,674,19,631156,631588,AE820C
19,292,680,23,28996,29385,422500
20,0,68,23,28996,29065,422500
21,0,194,23,28996,29191,422500
22,439,561,23,28996,29119,422500
20,0,68,20,12861,12930,3113D8
21,0,194,20,12861,13056,3113D8
22,0,674,20,12861,13313,3113D8
20,0,68,24,49445,49514,F4FCBA
21,0,194,24,49445,49640,F4FCBA
22,0,674,24,49445,50120,F4FCBA
23,0,782,24,49445,50228,F4FCBA
24,0,69,24,49445,49515,F4FCBA
25,0,344,24,49445,49790,F4FCBA
26,0,66,24,49445,49512,F4FCBA
27,0,293,24,49445,49739,F4FCBA
28,0,1367,24,49445,50813,F4FCBA
